collision_type,long,lat,neighbourhood,num_of_collisions
Fail to Remain,-79.4323924813576,43.7170397898364,Englemount-Lawrence (32),606
Fail to Remain,-79.3996838195974,43.7639902505071,East Willowdale (152),654
Fail to Remain,-79.4910760605325,43.724611055218,Oakdale-Beverley Heights (154),842
Fail to Remain,-79.5382250911128,43.7337406688871,Pelmo Park-Humberlea (23),548
Fail to Remain,-79.4494695635728,43.7275808110579,Yorkdale-Glen Park (31),1207
Fail to Remain,-79.3877526880186,43.66118545599,Bay-Cloverhill (169),492
Fail to Remain,-79.4126129152299,43.6554563276581,Trinity-Bellwoods (81),868
Fail to Remain,-79.4339626524136,43.650498737625,Little Portugal (84),624
Fail to Remain,-79.4859204463054,43.6656226780292,Runnymede-Bloor West Village (89),443
Fail to Remain,-79.5522620086937,43.6150620375772,Etobicoke City Centre (159),1458
Fail to Remain,-79.4312548827702,43.7257885039585,Bedford Park-Nortown (39),1105
Fail to Remain,-79.5568998425087,43.6101198168381,Etobicoke City Centre (159),1458
Fail to Remain,-79.4182977775991,43.6831613349499,Casa Loma (96),586
Fail to Remain,-79.2862901946176,43.8037457562818,Agincourt North (129),790
Fail to Remain,-79.4000510939509,43.7851393180047,Newtonbrook East (50),719
Fail to Remain,-79.4771459770852,43.7099981977411,Brookhaven-Amesbury (30),711
Fail to Remain,-79.4708905891395,43.7746221340223,York University Heights (27),1707
Fail to Remain,-79.4448318634612,43.6367910720843,South Parkdale (85),1062
Fail to Remain,-79.5318917073978,43.7031784438152,Humber Heights-Westmount (8),407
Fail to Remain,-79.5251784852581,43.7733504267264,Black Creek (24),499
Fail to Remain,-79.4354100663024,43.6408359221482,South Parkdale (85),1062
Fail to Remain,-79.3236356415093,43.6833599223347,Woodbine Corridor (64),471
Fail to Remain,-79.3950431878888,43.6454643182887,Wellington Place (164),1146
Fail to Remain,-79.5843646840676,43.6391986816891,Eringate-Centennial-West Deane (11),484
Fail to Remain,-79.3904909590285,43.6598526533784,Yonge-Bay Corridor (170),1080
Fail to Remain,-79.3779199781948,43.721726428288,Bridle Path-Sunnybrook-York Mills (41),631
Fail to Remain,-79.553191222947,43.6186899024309,Etobicoke City Centre (159),1458
Fail to Remain,-79.41844362434,43.6535779940971,Trinity-Bellwoods (81),868
Fail to Remain,-79.5575565090556,43.636085626899,Etobicoke City Centre (159),1458
Fail to Remain,-79.4542691602749,43.6559381613536,High Park-Swansea (87),1261
Fail to Remain,-79.5000005202526,43.7610570761458,York University Heights (27),1707
Fail to Remain,-79.4341094880053,43.6601391027493,Dufferin Grove (83),564
Property Damage,-79.3547334161014,43.7926543293294,Don Valley Village (47),655
Property Damage,-79.4117609900905,43.7648080587755,Lansing-Westgate (38),611
Fail to Remain,-79.3996024541561,43.6892725578141,Yonge-St.Clair (97),423
Fail to Remain,-79.5238119479376,43.6455035225904,Etobicoke City Centre (159),1458
Fail to Remain,-79.5858327285715,43.6995448494809,West Humber-Clairville (1),2728
Property Damage,-79.288907762874,43.8031205216209,Milliken (130),1425
Property Damage,-79.5179606247738,43.622883890143,Etobicoke City Centre (159),1458
Property Damage,-79.325304447385,43.6643914763042,Greenwood-Coxwell (65),604
Property Damage,-79.5038346618397,43.7028718381898,Brookhaven-Amesbury (30),711
Property Damage,-79.5926508810669,43.7602632484082,Mount Olive-Silverstone-Jamestown (2),734
Personal Injury,-79.4557408550763,43.7727335639412,Westminster-Branson (35),455
Fail to Remain,-79.516291087457,43.6195000286369,Etobicoke City Centre (159),1458
Property Damage,-79.5008873852587,43.6912953749163,Mount Dennis (115),437
Personal Injury,-79.534012604925,43.5943549409046,Long Branch (19),400
Personal Injury,-79.1907432139501,43.7527800805451,Guildwood (140),279
Property Damage,-79.2720195875436,43.6930863718931,Birchcliffe-Cliffside (122),944
Personal Injury,-79.2613278660981,43.7700591904307,Bendale-Glen Andrew (156),829
Property Damage,-79.2498499164554,43.772519376984,Woburn North (142),977
Property Damage,-79.3938560756744,43.6538169248176,Kensington-Chinatown (78),1099
Property Damage,-79.4430050022163,43.7738531111324,Willowdale West (37),553
Property Damage,-79.4937517199498,43.6716662518993,Rockcliffe-Smythe (111),825
Property Damage,-79.2639350309665,43.7772213841078,Bendale-Glen Andrew (156),829
Property Damage,-79.3396096122601,43.7230186261357,Banbury-Don Mills (42),1218
