collision_type,long,lat,neighbourhood,num_of_collisions
Fail to Remain,-79.4301333441052,43.7207876332217,Englemount-Lawrence (32),606
Personal Injury,-79.3244029227601,43.7893453942252,L'Amoreaux West (147),520
Property Damage,-79.219764948068,43.7610003984235,Golfdale-Cedarbrae-Woburn (141),1005
Property Damage,-79.5441617031255,43.6976159389312,Kingsview Village-The Westway (6),462
Property Damage,-79.3271748034949,43.7963343564564,L'Amoreaux West (147),520
Personal Injury,-79.3560992785083,43.6490892493226,St Lawrence-East Bayfront-The Islands (166),1257
Personal Injury,-79.41598832028,43.66408210181,Palmerston-Little Italy (80),571
Property Damage,-79.3346653465793,43.6868786177412,Danforth East York (59),637
Property Damage,-79.3614946834525,43.6631523543882,Regent Park (72),406
Personal Injury,-79.5358385531028,43.623553341498,Etobicoke City Centre (159),1458
Fail to Remain,-79.5081546254046,43.719071169774,Oakdale-Beverley Heights (154),842
Property Damage,-79.5579316310093,43.6467161662072,Islington (158),782
Fail to Remain,-79.4141523021703,43.6513020695942,Trinity-Bellwoods (81),868
Property Damage,-79.265901217561,43.7539296200023,Bendale-Glen Andrew (156),829
Property Damage,-79.410170519008,43.6475862406488,Trinity-Bellwoods (81),868
Fail to Remain,-79.3855227926521,43.6561215847975,Yonge-Bay Corridor (170),1080
Fail to Remain,-79.3437568722462,43.7951220570988,Don Valley Village (47),655
Property Damage,-79.2966438157634,43.6753155276061,The Beaches (63),1156
Fail to Remain,-79.2487957892509,43.7102478768057,Birchcliffe-Cliffside (122),944
Property Damage,-79.3728281923372,43.6526982804711,Moss Park (73),1186
Property Damage,-79.3587134802762,43.7119469542666,Thorncliffe Park (55),527
Fail to Remain,-79.4196275038242,43.796316397278,Newtonbrook East (50),719
Fail to Remain,-79.4658081672432,43.7082310070028,Yorkdale-Glen Park (31),1207
Property Damage,-79.5808655446967,43.6607544777073,Eringate-Centennial-West Deane (11),484
Property Damage,-79.4341094880053,43.6601391027493,Dovercourt Village (172),539
Personal Injury,-79.3698517805732,43.6456250568012,St Lawrence-East Bayfront-The Islands (166),1257
Fail to Remain,-79.2121418072552,43.7863827990706,Morningside (135),475
Property Damage,-79.4153686932272,43.7663254134081,Willowdale West (37),553
Fail to Remain,-79.4756459440287,43.6861767481378,Keelesdale-Eglinton West (110),628
Fail to Remain,-79.4424130791751,43.7222579237214,Englemount-Lawrence (32),606
Property Damage,-79.2317535622326,43.7764301467724,Woburn North (142),977
Property Damage,-79.2461606625298,43.7370911665874,Eglinton East (138),631
Personal Injury,-79.3904288612864,43.6791396079017,Rosedale-Moore Park (98),1190
Personal Injury,-79.48105786851,43.7847054791931,York University Heights (27),1707
Property Damage,-79.3408560611959,43.7276502523936,Banbury-Don Mills (42),1218
Personal Injury,-79.3897517204786,43.6501897563593,Wellington Place (164),1146
Property Damage,-79.4718287975718,43.6717559912366,Junction Area (90),863
Fail to Remain,-79.4825812939765,43.6487838474425,High Park-Swansea (87),1261
Property Damage,-79.3565273618491,43.6573689257357,Moss Park (73),1186
Property Damage,-79.3694560303976,43.6545191089848,Moss Park (73),1186
Property Damage,-79.3258548595037,43.68877520518,Danforth East York (59),637
Personal Injury,-79.5184255869398,43.7187551479338,Oakdale-Beverley Heights (154),842
Fail to Remain,-79.4698160629205,43.7808376291662,York University Heights (27),1707
Property Damage,-79.277858327578,43.8188678580444,Milliken (130),1425
Property Damage,-79.4134228600467,43.6524634333947,Trinity-Bellwoods (81),868
Property Damage,-79.3827881813992,43.6426299915829,Harbourfront-CityPlace (165),830
Property Damage,-79.4026809363628,43.6560862194864,Kensington-Chinatown (78),1099
Personal Injury,-79.2473814343576,43.7351675570802,Kennedy Park (124),679
Property Damage,-79.4323657436779,43.6414684067912,South Parkdale (85),1062
Personal Injury,-79.1862222239397,43.7684028883572,West Hill (136),1007
Personal Injury,-79.405351150397,43.6663526952036,University (79),592
Personal Injury,-79.5508874802752,43.6771725251509,Princess-Rosethorn (10),363
Personal Injury,-79.3308854748741,43.726661047108,Banbury-Don Mills (42),1218
Fail to Remain,-79.4008234054145,43.644298840991,Wellington Place (164),1146
Property Damage,-79.5559798737993,43.7169414213293,Elms-Old Rexdale (5),380
Fail to Remain,-79.3791903916854,43.7223005502217,Bridle Path-Sunnybrook-York Mills (41),631
Property Damage,-79.4172407211128,43.6409854208406,Fort York-Liberty Village (163),604
Fail to Remain,-79.2681327669417,43.7659866071394,Bendale-Glen Andrew (156),829
Fail to Remain,-79.2625203308224,43.7820084642785,Agincourt South-Malvern West (128),1101
Fail to Remain,-79.5137965538313,43.7198240863369,Oakdale-Beverley Heights (154),842
Fail to Remain,-79.4032300763502,43.6451858115255,Wellington Place (164),1146
Property Damage,-79.4003424722906,43.6381022132938,Harbourfront-CityPlace (165),830
Property Damage,-79.4439510904744,43.6801433647185,Corso Italia-Davenport (92),616
Property Damage,-79.4805247768841,43.6241366143417,Humber Bay Shores (161),383
Property Damage,-79.4023930592675,43.643187873894,Wellington Place (164),1146
Personal Injury,-79.2194002794918,43.802348281064,Malvern West (145),647
Personal Injury,-79.3470049193939,43.6509441710155,South Riverdale (70),1798
Property Damage,-79.2234990424005,43.8251729431619,Morningside Heights (144),1211
Fail to Remain,-79.3754367806398,43.7565929644213,St.Andrew-Windfields (40),666
Property Damage,-79.3945793595363,43.7030770908403,South Eglinton-Davisville (174),418
Fail to Remain,-79.3041039793543,43.7148045571522,O'Connor-Parkview (54),578
Property Damage,-79.2105430678297,43.8023295667115,Malvern East (146),847
Property Damage,-79.3345308922074,43.6888626367563,Danforth East York (59),637
Property Damage,-79.441946312772,43.7093972975508,Yorkdale-Glen Park (31),1207
Property Damage,-79.2707532322356,43.8200674019544,Milliken (130),1425
Personal Injury,-79.2216555829956,43.8091678856753,Malvern East (146),847
Fail to Remain,-79.2264549023466,43.829806444448,Morningside Heights (144),1211
Fail to Remain,-79.4065101580847,43.7284936762306,Lawrence Park North (105),546
Personal Injury,-79.2176624877548,43.7981162720555,Malvern East (146),847
Property Damage,-79.4138747263073,43.6552069401264,Trinity-Bellwoods (81),868
Personal Injury,-79.3790608111582,43.7062394040063,Mount Pleasant East (99),786
Personal Injury,-79.3966021564584,43.6747187508669,Annex (95),1286
Fail to Remain,-79.3899838160329,43.6436978563964,Harbourfront-CityPlace (165),830
Property Damage,-79.3798710789841,43.6559485936043,Downtown Yonge East (168),975
Fail to Remain,-79.433643906171,43.6800176627938,Oakwood Village (107),767
Fail to Remain,-79.2158348414389,43.761845931026,Golfdale-Cedarbrae-Woburn (141),1005
Property Damage,-79.3995811684611,43.6951135432985,Yonge-St.Clair (97),423
Fail to Remain,-79.3914917057934,43.6407399858067,Harbourfront-CityPlace (165),830
Fail to Remain,-79.4000447693798,43.657942328911,Kensington-Chinatown (78),1099
Property Damage,-79.4021922411347,43.6426491593171,Wellington Place (164),1146
Fail to Remain,-79.3109812940599,43.7226849275022,Victoria Village (43),558
Property Damage,-79.2454610546301,43.7685581831596,Woburn North (142),977
Property Damage,-79.2546390977196,43.7725195441288,Bendale-Glen Andrew (156),829
Property Damage,-79.2905032703128,43.791367909783,Tam O'Shanter-Sullivan (118),841
Fail to Remain,-79.2049723490538,43.782595134788,Morningside (135),475
Property Damage,-79.3250799329604,43.7654478391893,Fenside-Parkwoods (150),487
Property Damage,-79.2607790772718,43.768321117256,Bendale-Glen Andrew (156),829
Fail to Remain,-79.3986412046048,43.6543973471148,Kensington-Chinatown (78),1099
Fail to Remain,-79.4545196313044,43.6780555029062,Corso Italia-Davenport (92),616
Property Damage,-79.5103824401462,43.6329711526468,Stonegate-Queensway (16),1188
Property Damage,-79.3549477924635,43.6412157225058,South Riverdale (70),1798
Fail to Remain,-79.3255208957474,43.7972679935024,L'Amoreaux West (147),520
Property Damage,-79.2641847337684,43.7278222951445,Kennedy Park (124),679
Property Damage,-79.3218484958895,43.800537385731,L'Amoreaux West (147),520
Fail to Remain,-79.603911553626,43.7436341854836,West Humber-Clairville (1),2728
Property Damage,-79.5087773431145,43.6440491103723,Stonegate-Queensway (16),1188
Property Damage,-79.1912731301649,43.7710876081219,West Hill (136),1007
Property Damage,-79.516477875732,43.6276540513783,Stonegate-Queensway (16),1188
Property Damage,-79.2849492461182,43.8072987229115,Agincourt North (129),790
Fail to Remain,-79.2454194063396,43.7555423973942,Bendale South (157),487
Personal Injury,-79.2518959153998,43.7451421618984,Bendale South (157),487
Property Damage,-79.3147747719006,43.7771699834327,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.2717359549803,43.8134677829277,Agincourt North (129),790
Property Damage,-79.3508798245335,43.7549538141702,Banbury-Don Mills (42),1218
Property Damage,-79.4537866969146,43.7097071723558,Yorkdale-Glen Park (31),1207
Property Damage,-79.4159176433225,43.6836276525944,Casa Loma (96),586
Property Damage,-79.2964869871165,43.7196025573632,Clairlea-Birchmount (120),1510
Property Damage,-79.341836890266,43.7943486362041,Pleasant View (46),389
Personal Injury,-79.1883072606292,43.7865723643048,Highland Creek (134),447
Property Damage,-79.2213727618353,43.7827960316507,Woburn North (142),977
Fail to Remain,-79.4887588064428,43.7545063414094,York University Heights (27),1707
Property Damage,-79.2097168785754,43.7600124446232,Golfdale-Cedarbrae-Woburn (141),1005
Property Damage,-79.3376861002913,43.7933089629601,Pleasant View (46),389
Property Damage,-79.2206261037983,43.7998337403994,Malvern West (145),647
Fail to Remain,-79.2725093506227,43.8249793803401,Milliken (130),1425
Property Damage,-79.5099837893639,43.6247050032507,Stonegate-Queensway (16),1188
Fail to Remain,-79.2674513797636,43.6940837761493,Birchcliffe-Cliffside (122),944
Personal Injury,-79.4107451231037,43.7607077275402,Lansing-Westgate (38),611
Fail to Remain,-79.442485825226,43.7679908603075,Westminster-Branson (35),455
Property Damage,-79.4084853540118,43.6517878318277,Trinity-Bellwoods (81),868
Property Damage,-79.2247706573736,43.745936400352,Golfdale-Cedarbrae-Woburn (141),1005
Personal Injury,-79.5204011599846,43.7688205461889,Black Creek (24),499
Personal Injury,-79.5944459205208,43.7205086299976,West Humber-Clairville (1),2728
Personal Injury,-79.2922148675538,43.814572938966,Milliken (130),1425
Property Damage,-79.3603576839106,43.7159666919454,Leaside-Bennington (56),834
Property Damage,-79.232183570578,43.7717504337073,Woburn North (142),977
Fail to Remain,-79.1657437572795,43.7983126185014,Highland Creek (134),447
Property Damage,-79.3171759885008,43.8087044992207,Steeles (116),638
Property Damage,-79.2759051560312,43.8268903481402,Milliken (130),1425
Property Damage,-79.4215404800544,43.6716159957665,Annex (95),1286
Fail to Remain,-79.3549477924635,43.6412157225058,South Riverdale (70),1798
Fail to Remain,-79.3423890284914,43.6729628546472,Blake-Jones (69),348
Property Damage,-79.4564077466766,43.7216118862507,Yorkdale-Glen Park (31),1207
Property Damage,-79.3059633078726,43.7142720821075,O'Connor-Parkview (54),578
Property Damage,-79.2897270535877,43.7330744128151,Wexford/Maryvale (119),1973
Personal Injury,-79.4728775451929,43.6351432447128,High Park-Swansea (87),1261
Personal Injury,-79.3140153133536,43.7543349172616,Wexford/Maryvale (119),1973
Property Damage,-79.4826071335799,43.6208367334628,Humber Bay Shores (161),383
Personal Injury,-79.3481032566896,43.6875283970373,Danforth East York (59),637
Property Damage,-79.2108421777891,43.7493847156085,Guildwood (140),279
Personal Injury,-79.2412312507763,43.772617371196,Woburn North (142),977
Personal Injury,-79.3259658602572,43.7943252981324,L'Amoreaux West (147),520
Property Damage,-79.3889641939124,43.6563417591606,Yonge-Bay Corridor (170),1080
Property Damage,-79.1667254316661,43.8047090315923,West Rouge (143),731
Property Damage,-79.3114170814917,43.7274499853072,Victoria Village (43),558
Fail to Remain,-79.4277620590153,43.700520783946,Humewood-Cedarvale (106),410
Property Damage,-79.14383182811,43.7940207239289,Centennial Scarborough (133),381
Personal Injury,-79.3871890472355,43.7634633552218,St.Andrew-Windfields (40),666
Property Damage,-79.4256715295996,43.7015939269294,Forest Hill North (102),414
Fail to Remain,-79.3745632872114,43.6570608976536,Moss Park (73),1186
Property Damage,-79.4728775451929,43.6351432447128,High Park-Swansea (87),1261
Property Damage,-79.4588668516737,43.6776947971339,Weston-Pelham Park (91),452
Property Damage,-79.3958693412297,43.7819941429364,East Willowdale (152),654
Property Damage,-79.374871819397,43.7505440487016,Banbury-Don Mills (42),1218
Property Damage,-79.5907484765291,43.6833320779909,West Humber-Clairville (1),2728
Property Damage,-79.5835043266128,43.691920037839,West Humber-Clairville (1),2728
Property Damage,-79.3818421275077,43.7360277069209,Bridle Path-Sunnybrook-York Mills (41),631
Property Damage,-79.4154850251,43.6311073587613,Fort York-Liberty Village (163),604
Property Damage,-79.5116858699608,43.6243348217473,Stonegate-Queensway (16),1188
Property Damage,-79.442505549594,43.6966048036088,Oakwood Village (107),767
Property Damage,-79.3835392521379,43.7704410717708,Bayview Village (52),752
Property Damage,-79.2947319778539,43.7806999129604,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.4024044106036,43.714984955444,Lawrence Park South (103),695
Property Damage,-79.5356050304627,43.5939824707838,Long Branch (19),400
Fail to Remain,-79.4681440945312,43.6351829575159,South Parkdale (85),1062
Property Damage,-79.2352639027484,43.7577156731574,Golfdale-Cedarbrae-Woburn (141),1005
Property Damage,-79.3854490147632,43.6647371998061,Bay-Cloverhill (169),492
Property Damage,-79.4308689944184,43.632832250847,South Parkdale (85),1062
Fail to Remain,-79.3686285708986,43.6658689384264,Cabbagetown-South St.James Town (71),567
Fail to Remain,-79.2696231932401,43.7981059647321,Agincourt North (129),790
Property Damage,-79.3894581736078,43.6829918487833,Rosedale-Moore Park (98),1190
Property Damage,-79.4453775049347,43.7908214699698,Newtonbrook West (36),828
Personal Injury,-79.3236356415093,43.6833599223347,Woodbine Corridor (64),471
Property Damage,-79.28945950388,43.7857555529887,Agincourt South-Malvern West (128),1101
Property Damage,-79.5564161453017,43.6089831485795,Etobicoke City Centre (159),1458
Personal Injury,-79.4109343782376,43.7615026164836,Avondale (153),373
Fail to Remain,-79.3989225583831,43.6551318370658,Kensington-Chinatown (78),1099
Fail to Remain,-79.3997139491246,43.7129964242579,Mount Pleasant East (99),786
Property Damage,-79.3417750946689,43.6795612284842,Blake-Jones (69),348
Personal Injury,-79.4780584059622,43.7086530745628,Brookhaven-Amesbury (30),711
Property Damage,-79.3914917057934,43.6407399858067,Harbourfront-CityPlace (165),830
Property Damage,-79.578413990075,43.6898893064274,West Humber-Clairville (1),2728
Property Damage,-79.3623138486223,43.7140832771313,Leaside-Bennington (56),834
Property Damage,-79.2349919094181,43.7757356077741,Woburn North (142),977
Fail to Remain,-79.5380079737105,43.6385179461445,Islington (158),782
Property Damage,-79.3233179388096,43.6795895677845,Greenwood-Coxwell (65),604
Fatal,-79.4736444249878,43.6355687600428,High Park-Swansea (87),1261
Property Damage,-79.4464403861724,43.7347479742062,Clanton Park (33),740
Fail to Remain,-79.5156811631941,43.7491415377157,Glenfield-Jane Heights (25),958
Property Damage,-79.2748322984537,43.697171377002,Oakridge (121),479
Fail to Remain,-79.4949571132356,43.7604232845752,York University Heights (27),1707
Fail to Remain,-79.3552617227241,43.6905120050361,Broadview North (57),396
Property Damage,-79.2512929429713,43.7684539626662,Bendale-Glen Andrew (156),829
Personal Injury,-79.3698200113717,43.6455387782293,St Lawrence-East Bayfront-The Islands (166),1257
Personal Injury,-79.5596860102162,43.7133118248394,West Humber-Clairville (1),2728
Fail to Remain,-79.4380400135972,43.669714484626,Junction-Wallace Emerson (171),783
Property Damage,-79.3603238044891,43.6634202499158,Regent Park (72),406
Fail to Remain,-79.4523668426134,43.6684798974752,Weston-Pelham Park (91),452
Fail to Remain,-79.2865730892026,43.6868988905197,Birchcliffe-Cliffside (122),944
Property Damage,-79.5849665401871,43.6783355073096,West Humber-Clairville (1),2728
Fail to Remain,-79.3939252066834,43.6427327899353,Harbourfront-CityPlace (165),830
Property Damage,-79.3889218325498,43.6488059642649,Wellington Place (164),1146
Personal Injury,-79.3685893071339,43.6744403746096,Rosedale-Moore Park (98),1190
Property Damage,-79.3289942587065,43.6635238439217,Greenwood-Coxwell (65),604
Property Damage,-79.5941119386278,43.6597363710728,Eringate-Centennial-West Deane (11),484
Property Damage,-79.2568351247962,43.7348009271357,Kennedy Park (124),679
Fail to Remain,-79.4181109480727,43.6342310820839,Fort York-Liberty Village (163),604
Fail to Remain,-79.5089760602365,43.7223579229134,Oakdale-Beverley Heights (154),842
Property Damage,-79.3928506010462,43.6850197806925,Rosedale-Moore Park (98),1190
Property Damage,-79.4270554355451,43.7079181898249,Forest Hill North (102),414
Fail to Remain,-79.467246810957,43.6654304929296,Junction Area (90),863
Property Damage,-79.2928964131649,43.820328918659,Milliken (130),1425
Fail to Remain,-79.422065531529,43.7783149886084,Newtonbrook West (36),828
Fail to Remain,-79.4343097705351,43.657116427229,Dufferin Grove (83),564
Personal Injury,-79.2630776166696,43.7463718381635,Bendale South (157),487
Personal Injury,-79.4567474795682,43.7516569333502,Clanton Park (33),740
Property Damage,-79.5468661745176,43.6805391778949,Willowridge-Martingrove-Richview (7),579
Personal Injury,-79.1967869240541,43.7997649340631,Morningside Heights (144),1211
Property Damage,-79.3277755236355,43.7193698365435,Flemingdon Park (44),463
Fail to Remain,-79.5353270446752,43.7399307877555,Humbermede (22),576
Property Damage,-79.5438783925889,43.7580751825759,Humber Summit (21),944
Property Damage,-79.2753275977612,43.7237132678951,Ionview (125),310
Property Damage,-79.4819837218314,43.6440948253409,High Park-Swansea (87),1261
Property Damage,-79.4561689034971,43.7204558370851,Yorkdale-Glen Park (31),1207
Property Damage,-79.5567059677082,43.6369232704231,Islington (158),782
Fail to Remain,-79.2400846567911,43.7918939427208,Agincourt South-Malvern West (128),1101
Property Damage,-79.2481133485574,43.7713904388522,Woburn North (142),977
Property Damage,-79.2808864727702,43.7203482664038,Clairlea-Birchmount (120),1510
Fail to Remain,-79.4175157611864,43.7269854715764,Bedford Park-Nortown (39),1105
Property Damage,-79.5579001515416,43.6156765884607,Etobicoke City Centre (159),1458
Property Damage,-79.2291276706646,43.7610047718938,Golfdale-Cedarbrae-Woburn (141),1005
Property Damage,-79.409718688929,43.6515484944607,Trinity-Bellwoods (81),868
Property Damage,-79.3491648710051,43.6903952218791,Old East York (58),670
Property Damage,-79.4711203228007,43.6717753199974,Junction Area (90),863
Fail to Remain,-79.3966390764716,43.6982950430447,South Eglinton-Davisville (174),418
Fail to Remain,-79.5201306380062,43.7378005202441,Oakdale-Beverley Heights (154),842
Fail to Remain,-79.5107425162823,43.7348233354777,Glenfield-Jane Heights (25),958
Property Damage,-79.4173656351282,43.7099412015785,Lawrence Park South (103),695
Property Damage,-79.2330746041102,43.7581786554836,Woburn North (142),977
Property Damage,-79.3552626508082,43.6885410843498,Broadview North (57),396
Property Damage,-79.5543547949321,43.7305603928665,Thistletown-Beaumond Heights (3),439
Fail to Remain,-79.3907243722798,43.6798933924588,Rosedale-Moore Park (98),1190
Property Damage,-79.4046706555626,43.6950137897704,Forest Hill South (101),733
Fail to Remain,-79.2535560163915,43.7779233090257,Bendale-Glen Andrew (156),829
Property Damage,-79.5283165630779,43.7045392571797,Weston (113),594
Property Damage,-79.4129383741154,43.7080295724287,Lawrence Park South (103),695
Fail to Remain,-79.3531910915214,43.7619208835739,St.Andrew-Windfields (40),666
Personal Injury,-79.3855582357276,43.6460477851506,Yonge-Bay Corridor (170),1080
Personal Injury,-79.2876126812768,43.7278408506567,Clairlea-Birchmount (120),1510
Fail to Remain,-79.3933501905556,43.7911211972186,Bayview Woods-Steeles (49),374
Personal Injury,-79.2663881417043,43.7834588751367,Agincourt South-Malvern West (128),1101
Property Damage,-79.5129108076765,43.6201562020298,Mimico-Queensway (160),760
Fail to Remain,-79.4681542026657,43.717750118108,Yorkdale-Glen Park (31),1207
Property Damage,-79.4764795694916,43.7626939253106,York University Heights (27),1707
Personal Injury,-79.4410166303417,43.6502750789847,Dufferin Grove (83),564
Fail to Remain,-79.5483692080662,43.6913523161724,Kingsview Village-The Westway (6),462
Property Damage,-79.5246245494041,43.6158673611031,Mimico-Queensway (160),760
Property Damage,-79.5127388417264,43.7410871930892,Glenfield-Jane Heights (25),958
Personal Injury,-79.5207474453234,43.6071953890945,Mimico-Queensway (160),760
Fail to Remain,-79.2975115663825,43.725644955145,Clairlea-Birchmount (120),1510
Personal Injury,-79.2964196618366,43.7043823546905,O'Connor-Parkview (54),578
Fail to Remain,-79.2035368080999,43.7793731851976,Morningside (135),475
Property Damage,-79.328395936226,43.7293487375158,Banbury-Don Mills (42),1218
Property Damage,-79.3540858551809,43.7799383083963,Don Valley Village (47),655
Property Damage,-79.3998358946778,43.7136458620865,Mount Pleasant East (99),786
Personal Injury,-79.4186934676863,43.767992154653,Willowdale West (37),553
Fail to Remain,-79.4505973930242,43.6762980369316,Corso Italia-Davenport (92),616
Personal Injury,-79.4925478761976,43.7434724051484,Downsview (155),810
Fail to Remain,-79.2387496036089,43.7938636896259,Malvern East (146),847
Personal Injury,-79.457700154713,43.6527114953119,High Park-Swansea (87),1261
Property Damage,-79.416316926267,43.7685170804525,Lansing-Westgate (38),611
Property Damage,-79.3719102693607,43.6504577602141,Moss Park (73),1186
Property Damage,-79.3901935422702,43.7084015753498,Mount Pleasant East (99),786
Fail to Remain,-79.5702312483057,43.7265429915035,Rexdale-Kipling (4),375
Personal Injury,-79.4812076103712,43.6229625904171,Humber Bay Shores (161),383
Property Damage,-79.4409299840647,43.765458532554,Willowdale West (37),553
Fail to Remain,-79.4119888158162,43.7656511044652,Lansing-Westgate (38),611
Property Damage,-79.57949704029,43.6514024864911,Etobicoke West Mall (13),278
Property Damage,-79.4917258364594,43.7054840875794,Brookhaven-Amesbury (30),711
Fail to Remain,-79.2946984915828,43.7625808172818,Wexford/Maryvale (119),1973
Fail to Remain,-79.3352514679488,43.6757028156078,Blake-Jones (69),348
Property Damage,-79.499043188802,43.7675310193344,York University Heights (27),1707
Property Damage,-79.230678232043,43.773493146563,Golfdale-Cedarbrae-Woburn (141),1005
Property Damage,-79.4788529967485,43.7122187222071,Maple Leaf (29),334
Fail to Remain,-79.3215145908759,43.7719352575818,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.191070357544,43.7659767209923,West Hill (136),1007
Property Damage,-79.3317882627989,43.8122911177851,Steeles (116),638
Property Damage,-79.547769065462,43.6390229578933,Islington (158),782
Fail to Remain,-79.5191278421179,43.6342116652581,Stonegate-Queensway (16),1188
Property Damage,-79.4459862591105,43.7310186412533,Englemount-Lawrence (32),606
Property Damage,-79.4999827450766,43.7705212360277,York University Heights (27),1707
Fail to Remain,-79.5215371904611,43.7425975686653,Glenfield-Jane Heights (25),958
Property Damage,-79.3453509554272,43.7866126038681,Don Valley Village (47),655
Property Damage,-79.3680634947485,43.7900059136279,Don Valley Village (47),655
Personal Injury,-79.2709146469548,43.6877529566328,Birchcliffe-Cliffside (122),944
Property Damage,-79.352478239877,43.6453062990728,South Riverdale (70),1798
Fail to Remain,-79.4219710360976,43.6824133049448,Wychwood (94),619
Personal Injury,-79.4107811377225,43.7094501274857,Yonge-Eglinton (100),609
Personal Injury,-79.3906119939433,43.7780367292269,Bayview Village (52),752
Property Damage,-79.318834587537,43.6996603224824,Woodbine-Lumsden (60),306
Property Damage,-79.4995486827165,43.6668997736534,Rockcliffe-Smythe (111),825
Property Damage,-79.3746802866043,43.6670883302434,Cabbagetown-South St.James Town (71),567
Property Damage,-79.5407079367787,43.6343809423875,Etobicoke City Centre (159),1458
Property Damage,-79.505562844965,43.7092391602959,Rustic (28),275
Property Damage,-79.5363037063027,43.7318631789637,Pelmo Park-Humberlea (23),548
Fail to Remain,-79.3763666950714,43.6585076159695,Downtown Yonge East (168),975
Property Damage,-79.4061529183023,43.6987723952524,Yonge-Eglinton (100),609
Property Damage,-79.2862901946176,43.8037457562818,Agincourt North (129),790
Fail to Remain,-79.1883072606292,43.7865723643048,Highland Creek (134),447
Property Damage,-79.3901819914145,43.7760891671609,Bayview Village (52),752
Property Damage,-79.3954890101468,43.7073218345257,South Eglinton-Davisville (174),418
Property Damage,-79.3133859433709,43.810204461061,Steeles (116),638
Fail to Remain,-79.2876126812768,43.7278408506567,Clairlea-Birchmount (120),1510
Fail to Remain,-79.2438394723519,43.7801481507097,Woburn North (142),977
Property Damage,-79.5408481094762,43.7203777210898,Pelmo Park-Humberlea (23),548
Fail to Remain,-79.4257923499325,43.6471141585655,Little Portugal (84),624
Fail to Remain,-79.5121931515019,43.6128592943391,Mimico-Queensway (160),760
Property Damage,-79.3801866069903,43.6745340993469,Rosedale-Moore Park (98),1190
Property Damage,-79.4097141033368,43.7810506841417,East Willowdale (152),654
Property Damage,-79.577741269164,43.6590961594379,Eringate-Centennial-West Deane (11),484
Property Damage,-79.2014440186268,43.7429428104805,Guildwood (140),279
Fail to Remain,-79.5381573446395,43.6411971432456,Islington (158),782
Personal Injury,-79.5477468135281,43.6700748465665,Princess-Rosethorn (10),363
Property Damage,-79.3984410457481,43.6641032676592,University (79),592
Fail to Remain,-79.2275972011217,43.8162598059822,Malvern West (145),647
Personal Injury,-79.3222150049348,43.8181232467082,Steeles (116),638
Property Damage,-79.5700628787567,43.718707372183,West Humber-Clairville (1),2728
Personal Injury,-79.3926645297539,43.7149754364384,Mount Pleasant East (99),786
Personal Injury,-79.3979109839423,43.6692269260725,Annex (95),1286
Property Damage,-79.3886283988787,43.661977918201,Bay-Cloverhill (169),492
Personal Injury,-79.4117848023346,43.6666143715903,Annex (95),1286
Personal Injury,-79.4430050022163,43.7738531111324,Willowdale West (37),553
Fail to Remain,-79.3667003001573,43.6692220287012,Cabbagetown-South St.James Town (71),567
Personal Injury,-79.5568998425087,43.6101198168381,Etobicoke City Centre (159),1458
Personal Injury,-79.2785666326637,43.7853418909441,Agincourt South-Malvern West (128),1101
Personal Injury,-79.4172144209793,43.6638278895133,Palmerston-Little Italy (80),571
Personal Injury,-79.5129085327703,43.5990793616684,New Toronto (18),448
Personal Injury,-79.3396005051632,43.7608343896495,Parkwoods-O'Connor Hills (149),450
Property Damage,-79.4566231657081,43.6831015117619,Caledonia-Fairbank (109),407
Personal Injury,-79.2481838521705,43.7111149973766,Cliffcrest (123),715
Personal Injury,-79.3634387396299,43.6558247293032,Moss Park (73),1186
Personal Injury,-79.4279295701751,43.7114159419541,Bedford Park-Nortown (39),1105
Personal Injury,-79.6141502779384,43.7554462781656,West Humber-Clairville (1),2728
Fail to Remain,-79.5554732842675,43.6742114561515,Princess-Rosethorn (10),363
Property Damage,-79.2619026448874,43.7719389295966,Bendale-Glen Andrew (156),829
Property Damage,-79.3897698673151,43.646597290335,Wellington Place (164),1146
Personal Injury,-79.2649597980763,43.7821349747223,Agincourt South-Malvern West (128),1101
Personal Injury,-79.4788944737684,43.6892902424997,Beechborough-Greenbrook (112),415
Fail to Remain,-79.4562030909869,43.7207192720102,Yorkdale-Glen Park (31),1207
Fail to Remain,-79.3719102693607,43.6504577602141,Moss Park (73),1186
Fail to Remain,-79.4014100595296,43.647703389464,Wellington Place (164),1146
Fail to Remain,-79.4337626587958,43.7936730406055,Newtonbrook West (36),828
Property Damage,-79.4502752551179,43.6956857798099,Oakwood Village (107),767
Property Damage,-79.2241732107891,43.8039531636516,Malvern West (145),647
Property Damage,-79.4696586075927,43.7540220948321,York University Heights (27),1707
Personal Injury,-79.2961019080131,43.7791680896946,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.3452744911301,43.7440671134496,Banbury-Don Mills (42),1218
Fail to Remain,-79.5452510484374,43.6016839845915,Alderwood (20),574
Fail to Remain,-79.5238119479376,43.6455035225904,Islington (158),782
Property Damage,-79.5661563783246,43.6925542686502,Willowridge-Martingrove-Richview (7),579
Property Damage,-79.4699109575099,43.6372044159345,High Park-Swansea (87),1261
